Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2025-01-29,MFP iOS calorie adjustment,Cardio,0.0,1,,,,938,
2025-01-30,MFP iOS calorie adjustment,Cardio,0.0,1,,,,504,
2025-01-31,"""Strength training (weight lifting, weight training)""",Cardio,206.4,36,,,,,
2025-01-31,"""Walking, 2.5 mph, leisurely pace""",Cardio,150.7,30,,,,,
2025-01-31,MFP iOS calorie adjustment,Cardio,0.0,1,,,,7858,
2025-02-01,"""Strength training (weight lifting, weight training)""",Cardio,233.1,39,,,,,
2025-02-01,"""Walking, 2.5 mph, leisurely pace""",Cardio,191.2,34,,,,,
2025-02-01,MFP iOS calorie adjustment,Cardio,0.0,1,,,,9291,
2025-02-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1316,
2025-02-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2117,
2025-02-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1892,
2025-02-05,"""Strength training (weight lifting, weight training)""",Cardio,372.2,66,,,,,
2025-02-05,"""Walking, 2.0 mph, slow pace""",Cardio,74.7,18,,,,,
2025-02-05,"""Walking, 2.0 mph, slow pace""",Cardio,99.9,20,,,,,
2025-02-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4881,
2025-02-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1727,
2025-02-07,MFP iOS calorie adjustment,Cardio,3.0,1,,,,2976,
2025-02-08,MFP iOS calorie adjustment,Cardio,86.0,1,,,,7708,
2025-02-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1197,
2025-02-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1974,
2025-02-11,MFP iOS calorie adjustment,Cardio,41.0,1,,,,8013,
2025-02-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1712,
2025-02-13,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1032,
2025-02-14,MFP iOS calorie adjustment,Cardio,7.0,1,,,,2347,
2025-02-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,602,
2025-02-16,MFP iOS calorie adjustment,Cardio,1.0,1,,,,807,
2025-02-17,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,366.1,90,,,,,
2025-02-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,10727,
2025-02-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2710,
2025-02-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,913,
2025-02-20,MFP iOS calorie adjustment,Cardio,0.0,1,,,,828,
2025-02-21,MFP iOS calorie adjustment,Cardio,12.0,1,,,,5225,
2025-02-22,MFP iOS calorie adjustment,Cardio,10.0,1,,,,1995,
2025-02-23,"""Strength training (weight lifting, weight training)""",Cardio,296.9,53,,,,,
2025-02-23,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,26.5,3,,,,,
2025-02-23,"""Walking, 3.5 mph, brisk pace""",Cardio,237.2,37,,,,,
2025-02-23,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8960,
2025-02-24,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,83.8,15,,,,,
2025-02-24,"""Strength training (weight lifting, weight training)""",Cardio,379.7,73,,,,,
2025-02-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8340,
2025-02-25,"""Walking, 3.5 mph, brisk pace""",Cardio,197.4,42,,,,,
2025-02-25,"""Walking, 3.5 mph, brisk pace""",Cardio,211.3,42,,,,,
2025-02-25,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11279,
2025-02-26,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1811,
2025-02-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1823,
2025-02-28,"""Strength training (weight lifting, weight training)""",Cardio,276.9,49,,,,,
2025-02-28,MFP iOS calorie adjustment,Cardio,0.0,1,,,,4966,
2025-03-01,MFP iOS calorie adjustment,Cardio,157.0,1,,,,12371,
2025-03-02,"""Strength training (weight lifting, weight training)""",Cardio,337.8,60,,,,,
2025-03-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,233.1,64,,,,,
2025-03-02,"""Walking, 2.5 mph, leisurely pace""",Cardio,33.2,4,,,,,
2025-03-02,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11380,
2025-03-03,"""Strength training (weight lifting, weight training)""",Cardio,258.8,55,,,,,
2025-03-03,"""Walking, 4.0 mph, very brisk pace""",Cardio,232.3,36,,,,,
2025-03-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,11857,
2025-03-04,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,301.4,64,,,,,
2025-03-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,8479,
2025-03-05,Apple Health App Workout,Cardio,132.1,26,,,,,
2025-03-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,6837,
2025-03-06,"""Strength training (weight lifting, weight training)""",Cardio,262.2,46,,,,,
2025-03-06,"""Walking, 2.5 mph, leisurely pace""",Cardio,79.0,17,,,,,
2025-03-06,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,249.5,48,,,,,
2025-03-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,10057,
2025-03-07,MFP iOS calorie adjustment,Cardio,3.0,1,,,,3331,
2025-03-08,MFP iOS calorie adjustment,Cardio,8.0,1,,,,5992,
2025-03-09,"""Strength training (weight lifting, weight training)""",Cardio,441.4,71,,,,,
2025-03-09,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,31.6,5,,,,,
2025-03-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,5739,
2025-03-10,"""Strength training (weight lifting, weight training)""",Cardio,241.2,43,,,,,
